"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"QC1"	"QC2"	"R1_pre"	"R2_pre"	"R3_pre"	"Y1_pre"	"Y2_pre"	"Y3_pre"	"QC3"	"R1_post"	"R2_post"	"R3_post"	"Y1_post"	"Y2_post"	"Y3_post"	"QC4"
"CHEBI:59783"	"C6H12O3"	"CC(C)CC(O)C(O)=O"	"LVRFTAZAXQPQHI-UHFFFAOYNA-N"	"2-Hydroxyisocaproic acid"	"131.07375"	""	""	""	"3.290"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"635"	"4773"	"0"	"2307"	"3720"	"207"	"0"	"1861"	"2552"	"1090"	"123"	"7818"	"318"	"0"	"2370"
"CHEBI:15729"	"C5H12N2O2"	"NCCC[C@H](N)C(O)=O"	"AHLPHDHHMVZTML-BYPYZUCNSA-N"	"L-Ornithine"	"131.08078"	""	""	""	"11.289"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"7462"	"8762"	"8707"	"9375"	"8858"	"8222"	"9163"	"8676"	"8702"	"9370"	"9409"	"9474"	"8708"	"9869"	"8773"	"7969"
"CHEBI:15729"	"C5H12N2O2"	"NCCC[C@H](N)C(O)=O"	"AHLPHDHHMVZTML-BYPYZUCNSA-N"	"L-Ornithine"	"131.08546"	""	""	""	"0.552"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"475"	"7780"	"0"	"2575"	"1168"	"0"	"6212"	"8569"	"11582"	"46039"	"16246"	"14713"	"17243"	"43090"	"12269"	"11877"
""	"C4H7NO4"	"NC(CC(O)=O)C(O)=O"	"CKLJMWTZIZZHCS-UHFFFAOYNA-N"	"Aspartate"	"132.02950"	""	""	""	"0.585"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"286"	"0"	"136"	"0"	"0"	"373"	"2467"	"619"	"8463"	"1977"	"5311"	"0"	"7465"	"2991"	"641"
"CHEBI:30797"	"C4H6O5"	"O[C@@H](CC(O)=O)C(O)=O"	"BJEPYKJPYRNKOW-REOHCLBHSA-N"	"L-(-)-Malic acid"	"133.00760"	""	""	""	"11.315"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"5368"	"6356"	"6434"	"6876"	"6385"	"6245"	"6341"	"6416"	"7004"	"6488"	"6948"	"7723"	"6342"	"7363"	"6736"	"6329"
"CHEBI:30797"	"C4H6O5"	"O[C@@H](CC(O)=O)C(O)=O"	"BJEPYKJPYRNKOW-REOHCLBHSA-N"	"L-(-)-Malic acid"	"133.00995"	""	""	""	"0.957"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"14"	"6596"	"1310"	"14435"	"5573"	"3175"	"12377"	"16827"	"10286"	"16544"	"18686"	"28468"	"7616"	"18632"	"21937"	"13895"
"CHEBI:30797"	"C4H6O5"	"O[C@@H](CC(O)=O)C(O)=O"	"BJEPYKJPYRNKOW-REOHCLBHSA-N"	"L-(-)-Malic acid"	"133.00995"	""	""	""	"0.679"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"248"	"1846"	"522"	"5474"	"1435"	"648"	"5223"	"14158"	"4109"	"132"	"963"	"31855"	"5656"	"30614"	"18256"	"4009"
""	"C5H5N5"	"NC1=C2N=CN=C2NC=N1"	"GFFGJBXGBJISGV-UHFFFAOYSA-N"	"Adenine"	"134.03671"	""	""	""	"5.981"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"2268"	"3411"	"4828"	"4231"	"4804"	"4597"	"4357"	"4635"	"4534"	"4276"	"5242"	"4403"	"4606"	"4782"	"4076"	"4369"
""	"C5H5N5"	"NC1=C2N=CN=C2NC=N1"	"GFFGJBXGBJISGV-UHFFFAOYSA-N"	"Adenine"	"134.04619"	""	""	""	"0.573"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"980"	"0"	"0"	"0"	"0"	"350"	"0"	"1521"	"7340"	"3239"	"502"	"87"	"3259"	"1443"	"1351"
""	"C5H5N5"	"NC1=C2N=CN=C2NC=N1"	"GFFGJBXGBJISGV-UHFFFAOYSA-N"	"Adenine"	"134.04855"	""	""	""	"2.434"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"482"	"0"	"0"	"0"	"0"	"0"	"0"	"1251"	"12275"	"4118"	"701"	"5673"	"5875"	"229"	"1641"
""	"C5H5N5"	"NC1=C2N=CN=C2NC=N1"	"GFFGJBXGBJISGV-UHFFFAOYSA-N"	"Adenine"	"134.04855"	""	""	""	"2.204"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"1561"	"0"	"0"	"0"	"0"	"0"	"0"	"2354"	"15284"	"6451"	"1928"	"6836"	"8297"	"1662"	"2251"
""	"C9H8O4"	"OC(=O)\C=C/C1=CC(O)=C(O)C=C1"	"QAIPRVGONGVQAS-RQOWECAXSA-N"	"Caffeic acid"	"135.04361"	""	""	""	"1.249"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"978"	"4596"	"7079"	"6765"	"7178"	"8223"	"6992"	"6835"	"6780"	"6767"	"6782"	"6175"	"7382"	"7108"	"6949"	"6933"
""	"C9H8O4"	"OC(=O)\C=C/C1=CC(O)=C(O)C=C1"	"QAIPRVGONGVQAS-RQOWECAXSA-N"	"Caffeic acid"	"135.04599"	""	""	""	"7.055"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"3798"	"4112"	"6366"	"3838"	"5761"	"4406"	"4468"	"5598"	"6383"	"4463"	"4770"	"4613"	"5745"	"5581"	"4544"	"4147"
""	"C9H8O4"	"OC(=O)\C=C/C1=CC(O)=C(O)C=C1"	"QAIPRVGONGVQAS-RQOWECAXSA-N"	"Caffeic acid"	"135.04599"	""	""	""	"11.309"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"11005"	"7763"	"12163"	"7087"	"6805"	"12936"	"12527"	"5875"	"5123"	"6538"	"7822"	"5285"	"8763"	"8373"	"10110"	"6593"
"CHEBI:30754"	"C7H7NO2"	"NC1=CC=CC=C1C(O)=O"	"RWZYAGGXGHYGMB-UHFFFAOYSA-N"	"Anthranilic acid"	"136.05429"	""	""	""	"0.548"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"180"	"7494"	"9198"	"6606"	"9555"	"9165"	"7169"	"1880"	"11717"	"6747"	"8323"	"2059"	"15016"	"2770"	"1543"	"11174"
""	"C6H6N2O2"	"OC(=O)\C=C\C1=CN=CN1"	"LOIYMIARKYCTBW-OWOJBTEDSA-N"	"Urocanic acid"	"137.03996"	""	""	""	"0.546"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"3091"	"21267"	"29041"	"19186"	"29886"	"29186"	"20917"	"7044"	"33003"	"20033"	"24158"	"5585"	"44536"	"8902"	"5947"	"34002"
"CHEBI:17553"	"C2H8NO4P"	"NCCOP(O)(O)=O"	"SUHOOTKUPISOBE-UHFFFAOYSA-N"	"O-Phosphoethanolamine"	"140.01350"	""	""	""	"0.600"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"805"	"1026"	"7306"	"855"	"129"	"11133"	"18410"	"1018"	"0"	"7778"	"0"	"30"	"1185"	"521"	"1364"
""	"C9H7NO"	"O=CC1=CNC2=CC=CC=C12"	"OLNJUISKUQQNIM-UHFFFAOYSA-N"	"Indole-3-carboxyaldehyde"	"144.04181"	""	""	""	"3.549"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"313"	"2992"	"2777"	"105"	"21895"	"2843"	"355"	"3045"	"4240"	"0"	"134"	"1878"	"1369"	"0"	"1851"	"3837"
""	"C9H7NO"	"O=CC1=CNC2=CC=CC=C12"	"OLNJUISKUQQNIM-UHFFFAOYSA-N"	"Indole-3-carboxyaldehyde"	"144.04918"	""	""	""	"3.239"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"2180"	"5404"	"5395"	"2764"	"9163"	"5541"	"2572"	"5945"	"1314"	"2675"	"5248"	"1209"	"872"	"4895"	"3847"
"CHEBI:30915"	"C5H6O5"	"OC(=O)CCC(=O)C(O)=O"	"KPGXRSRHYNQIFN-UHFFFAOYSA-N"	"2-Oxoglutaric acid"	"145.01157"	""	""	""	"1.163"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"150"	"3103"	"2454"	"3591"	"2877"	"2248"	"3205"	"4087"	"4035"	"8824"	"4684"	"4420"	"5077"	"7361"	"6165"	"3766"
"CHEBI:30915"	"C5H6O5"	"OC(=O)CCC(=O)C(O)=O"	"KPGXRSRHYNQIFN-UHFFFAOYSA-N"	"2-Oxoglutaric acid"	"145.01157"	""	""	""	"0.620"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"2019"	"801"	"9158"	"2560"	"1804"	"7588"	"7979"	"3367"	"479"	"0"	"8632"	"808"	"6679"	"7833"	"3351"
"CHEBI:68567"	"C6H10O4"	"CC(CCC(O)=O)C(O)=O"	"AQYCMVICBNBXNA-UHFFFAOYNA-N"	"2-Methylglutaric acid"	"145.04610"	""	""	""	"7.053"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"6249"	"6065"	"11378"	"11542"	"6963"	"7060"	"8103"	"7571"	"7796"	"9371"	"9879"	"7086"	"8962"	"10081"	"7967"	"6940"
"CHEBI:68567"	"C6H10O4"	"CC(CCC(O)=O)C(O)=O"	"AQYCMVICBNBXNA-UHFFFAOYNA-N"	"2-Methylglutaric acid"	"145.04855"	""	""	""	"5.852"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"3182"	"7284"	"7475"	"8619"	"9222"	"9843"	"8617"	"9325"	"9149"	"8197"	"10408"	"12100"	"11205"	"12502"	"7323"	"8929"
"CHEBI:68567"	"C6H10O4"	"CC(CCC(O)=O)C(O)=O"	"AQYCMVICBNBXNA-UHFFFAOYNA-N"	"2-Methylglutaric acid"	"145.04855"	""	""	""	"6.213"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"3165"	"6697"	"6896"	"6735"	"6483"	"7843"	"6549"	"5815"	"7996"	"7355"	"7099"	"10923"	"9315"	"12555"	"8061"	"7897"
"CHEBI:68567"	"C6H10O4"	"CC(CCC(O)=O)C(O)=O"	"AQYCMVICBNBXNA-UHFFFAOYNA-N"	"2-Methylglutaric acid"	"145.04855"	""	""	""	"6.603"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"1810"	"8399"	"2832"	"11399"	"8959"	"3439"	"2179"	"5224"	"9802"	"2641"	"6450"	"3239"	"7933"	"16421"	"2850"	"3486"
"CHEBI:68567"	"C6H10O4"	"CC(CCC(O)=O)C(O)=O"	"AQYCMVICBNBXNA-UHFFFAOYNA-N"	"2-Methylglutaric acid"	"145.04855"	""	""	""	"5.398"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"2754"	"6684"	"7268"	"7268"	"9036"	"8579"	"8390"	"7841"	"8872"	"8022"	"11238"	"8495"	"8783"	"10627"	"8925"	"7285"
"CHEBI:68567"	"C6H10O4"	"CC(CCC(O)=O)C(O)=O"	"AQYCMVICBNBXNA-UHFFFAOYNA-N"	"2-Methylglutaric acid"	"145.05103"	""	""	""	"1.254"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"1041"	"1386"	"1478"	"1929"	"1177"	"1263"	"2363"	"1547"	"698"	"589"	"1224"	"1278"	"2959"	"3089"	"1788"
""	"C5H10N2O3"	"NC(CCC(O)=N)C(O)=O"	"ZDXPYRJPNDTMRX-UHFFFAOYNA-N"	"Glutamine"	"145.06335"	""	""	""	"0.598"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"1236"	"3550"	"0"	"27140"	"8894"	"10146"	"444"	"29646"	"9047"	"0"
""	"C5H10N2O3"	"NC(CCC(O)=N)C(O)=O"	"ZDXPYRJPNDTMRX-UHFFFAOYNA-N"	"Glutamine"	"145.06581"	""	""	""	"0.923"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"278"	"0"	"0"	"0"	"0"	"0"	"0"	"430"	"5303"	"1065"	"0"	"2907"	"2110"	"0"	"697"
"CHEBI:16015"	"C5H9NO4"	"N[C@@H](CCC(O)=O)C(O)=O"	"WHUUTDBJXJRKMK-VKHMYHEASA-N"	"L-Glutamic acid"	"146.03902"	""	""	""	"0.558"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"628"	"5333"	"0"	"9790"	"313"	"0"	"7073"	"23688"	"7734"	"19943"	"21532"	"1918"	"562"	"22170"	"27752"	"7657"
"CHEBI:16015"	"C5H9NO4"	"N[C@@H](CCC(O)=O)C(O)=O"	"WHUUTDBJXJRKMK-VKHMYHEASA-N"	"L-Glutamic acid"	"146.03902"	""	""	""	"0.558"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"628"	"5333"	"0"	"9790"	"313"	"0"	"7073"	"23688"	"7734"	"19943"	"21532"	"1918"	"562"	"22170"	"27752"	"7657"
"CHEBI:16015"	"C5H9NO4"	"N[C@@H](CCC(O)=O)C(O)=O"	"WHUUTDBJXJRKMK-VKHMYHEASA-N"	"L-Glutamic acid"	"146.04398"	""	""	""	"5.940"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"1278"	"2278"	"2272"	"2641"	"2912"	"2586"	"3006"	"2913"	"2657"	"3026"	"2923"	"3795"	"2233"	"2728"	"1996"	"2711"
"CHEBI:16015"	"C5H9NO4"	"N[C@@H](CCC(O)=O)C(O)=O"	"WHUUTDBJXJRKMK-VKHMYHEASA-N"	"L-Glutamic acid"	"146.04398"	""	""	""	"5.940"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"1278"	"2278"	"2272"	"2641"	"2912"	"2586"	"3006"	"2913"	"2657"	"3026"	"2923"	"3795"	"2233"	"2728"	"1996"	"2711"
"CHEBI:16015"	"C5H9NO4"	"N[C@@H](CCC(O)=O)C(O)=O"	"WHUUTDBJXJRKMK-VKHMYHEASA-N"	"L-Glutamic acid"	"146.04892"	""	""	""	"0.925"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"590"	"0"	"0"	"170"	"0"	"0"	"0"	"1351"	"7617"	"2117"	"348"	"4726"	"2706"	"0"	"1219"
"CHEBI:16015"	"C5H9NO4"	"N[C@@H](CCC(O)=O)C(O)=O"	"WHUUTDBJXJRKMK-VKHMYHEASA-N"	"L-Glutamic acid"	"146.04892"	""	""	""	"0.925"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"590"	"0"	"0"	"170"	"0"	"0"	"0"	"1351"	"7617"	"2117"	"348"	"4726"	"2706"	"0"	"1219"
"CHEBI:16015"	"C5H9NO4"	"N[C@@H](CCC(O)=O)C(O)=O"	"WHUUTDBJXJRKMK-VKHMYHEASA-N"	"L-Glutamic acid"	"146.05139"	""	""	""	"0.613"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"366"	"242"	"0"	"5197"	"200"	"0"	"5116"	"15573"	"93"	"30411"	"25231"	"55522"	"974"	"86880"	"27128"	"672"
"CHEBI:16015"	"C5H9NO4"	"N[C@@H](CCC(O)=O)C(O)=O"	"WHUUTDBJXJRKMK-VKHMYHEASA-N"	"L-Glutamic acid"	"146.05139"	""	""	""	"0.613"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"366"	"242"	"0"	"5197"	"200"	"0"	"5116"	"15573"	"93"	"30411"	"25231"	"55522"	"974"	"86880"	"27128"	"672"
""	"C4H6O6"	"OC(C(O)C(O)=O)C(O)=O"	"FEWJPZIEWOKRBE-UHFFFAOYNA-N"	"L-(+)-tartaric acid"	"149.00314"	""	""	""	"9.030"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"18929"	"575"	"1"	"0"	"0"	"0"	"0"
""	"C4H6O6"	"OC(C(O)C(O)=O)C(O)=O"	"FEWJPZIEWOKRBE-UHFFFAOYNA-N"	"L-(+)-tartaric acid"	"149.00565"	""	""	""	"6.846"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"3"	"125"	"1"	"16"	"120"	"30"	"15"	"0"	"8400"	"127"	"284"	"92"	"4"	"23"	"4"
""	"C4H6O6"	"OC(C(O)C(O)=O)C(O)=O"	"FEWJPZIEWOKRBE-UHFFFAOYNA-N"	"L-(+)-tartaric acid"	"149.00565"	""	""	""	"11.313"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"9869"	"10762"	"10350"	"10963"	"9096"	"8571"	"8782"	"9051"	"9068"	"9674"	"8398"	"8937"	"8522"	"9448"	"8152"	"7988"
""	"C4H6O6"	"OC(C(O)C(O)=O)C(O)=O"	"FEWJPZIEWOKRBE-UHFFFAOYNA-N"	"L-(+)-tartaric acid"	"149.00815"	""	""	""	"7.774"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"107"	"971"	"976"	"149"	"663"	"187"	"155"	"174"	"38725"	"16916"	"180"	"2143"	"286"	"21"	"122"
""	"C4H6O6"	"OC(C(O)C(O)=O)C(O)=O"	"FEWJPZIEWOKRBE-UHFFFAOYNA-N"	"L-(+)-tartaric acid"	"149.00815"	""	""	""	"8.094"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"0"	"119"	"397"	"30"	"8"	"1"	"87"	"197"	"33682"	"549"	"3639"	"183"	"0"	"0"	"6"
""	"C4H6O6"	"OC(C(O)C(O)=O)C(O)=O"	"FEWJPZIEWOKRBE-UHFFFAOYNA-N"	"L-(+)-tartaric acid"	"149.00815"	""	""	""	"9.739"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"3"	"117"	"8"	"104"	"2"	"120"	"242"	"35"	"282"	"26161"	"2396"	"4"	"6"	"6"	"8"	"22"
""	"C4H6O6"	"OC(C(O)C(O)=O)C(O)=O"	"FEWJPZIEWOKRBE-UHFFFAOYNA-N"	"L-(+)-tartaric acid"	"149.00815"	""	""	""	"7.312"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"357"	"251"	"380"	"154"	"145"	"154"	"1"	"174"	"403"	"23865"	"628"	"398"	"362"	"116"	"381"	"76"
""	"C4H6O6"	"OC(C(O)C(O)=O)C(O)=O"	"FEWJPZIEWOKRBE-UHFFFAOYNA-N"	"L-(+)-tartaric acid"	"149.00815"	""	""	""	"6.996"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"275"	"651"	"1471"	"969"	"986"	"610"	"1100"	"564"	"1204"	"31169"	"1184"	"1042"	"795"	"755"	"588"	"650"
