"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"QC1"	"QC2"	"R1_pre"	"R2_pre"	"R3_pre"	"Y1_pre"	"Y2_pre"	"Y3_pre"	"QC3"	"R1_post"	"R2_post"	"R3_post"	"Y1_post"	"Y2_post"	"Y3_post"	"QC4"
""	"C6H4N2"	"N#CC1=CN=CC=C1"	"GZPHSAQLYPIAIN-UHFFFAOYSA-N"	"3-Cyanopyridine"	"105.03121"	""	""	""	"4.858"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"32018"	"38896"	"20631"	"20496"	"20426"	"19571"	"24509"	"22339"	"18207"	"28983"	"23613"	"20355"	"25963"	"18375"	"28162"	"18429"
""	"C6H4N2"	"N#CC1=CN=CC=C1"	"GZPHSAQLYPIAIN-UHFFFAOYSA-N"	"3-Cyanopyridine"	"105.03331"	""	""	""	"6.056"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"11302"	"30220"	"18053"	"16375"	"20156"	"20788"	"26408"	"24669"	"10788"	"17734"	"16116"	"20836"	"21002"	"15713"	"12198"	"8773"
""	"C6H4N2"	"N#CC1=CN=CC=C1"	"GZPHSAQLYPIAIN-UHFFFAOYSA-N"	"3-Cyanopyridine"	"105.0354"	""	""	""	"0.94"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"20485"	"400"	"70865"	"21138"	"45616"	"56823"	"25658"	"7476"	"0"	"20553"	"20327"	"5645"	"42965"	"8543"	"6559"	"281"
""	"C6H4N2"	"N#CC1=CN=CC=C1"	"GZPHSAQLYPIAIN-UHFFFAOYSA-N"	"3-Cyanopyridine"	"105.0354"	""	""	""	"7.287"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"16429"	"22770"	"19937"	"12699"	"8885"	"21678"	"31493"	"33874"	"29610"	"13484"	"12331"	"15500"	"23207"	"18659"	"8541"	"31811"
""	"C6H4N2"	"N#CC1=CN=CC=C1"	"GZPHSAQLYPIAIN-UHFFFAOYSA-N"	"3-Cyanopyridine"	"105.0354"	""	""	""	"5.321"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"2420"	"22147"	"23500"	"24135"	"16350"	"25737"	"24670"	"20110"	"20631"	"20520"	"24651"	"27061"	"26147"	"25821"	"24659"	"15038"
""	"C6H4N2"	"N#CC1=CN=CC=C1"	"GZPHSAQLYPIAIN-UHFFFAOYSA-N"	"3-Cyanopyridine"	"105.0375"	""	""	""	"0.472"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"3576"	"0"	"35431"	"726"	"6003"	"5776"	"1228"	"0"	"0"	"274"	"3083"	"8"	"7248"	"0"	"89"	"157"
""	"C6H4N2"	"N#CC1=CN=CC=C1"	"GZPHSAQLYPIAIN-UHFFFAOYSA-N"	"3-Cyanopyridine"	"105.0375"	""	""	""	"9.223"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"16381"	"30099"	"2760"	"36418"	"4450"	"45311"	"58149"	"26962"	"39040"	"43692"	"20215"	"31332"	"26640"	"36293"	"38766"	"35095"
""	"C6H4N2"	"N#CC1=CN=CC=C1"	"GZPHSAQLYPIAIN-UHFFFAOYSA-N"	"3-Cyanopyridine"	"105.0396"	""	""	""	"9.051"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"25342"	"17258"	"24505"	"55684"	"38304"	"42397"	"36435"	"36101"	"39927"	"39918"	"18896"	"31150"	"57737"	"26711"	"25218"	"25928"
""	"C6H4N2"	"N#CC1=CN=CC=C1"	"GZPHSAQLYPIAIN-UHFFFAOYSA-N"	"3-Cyanopyridine"	"105.0396"	""	""	""	"11.079"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"78052"	"152801"	"136276"	"121617"	"130085"	"137878"	"153878"	"158460"	"149311"	"152499"	"134061"	"147218"	"128162"	"154015"	"137482"	"131011"
""	"C3H7NO3"	"NC(CO)C(O)=O"	"MTCFGRXMJLQNBG-UHFFFAOYNA-N"	"Serine"	"106.04847"	""	""	""	"0.941"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"5293"	"0"	"36658"	"11920"	"21512"	"29552"	"12699"	"3791"	"0"	"11625"	"12131"	"2119"	"21809"	"5010"	"3243"	"0"
""	"C3H7NO3"	"NC(CO)C(O)=O"	"MTCFGRXMJLQNBG-UHFFFAOYNA-N"	"Serine"	"106.04847"	""	""	""	"0.615"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"1221"	"0"	"7858"	"10944"	"6401"	"4032"	"15786"	"9921"	"0"	"0"	"8193"	"0"	"276"	"385"	"0"	"0"
"CHEBI:28123"	"C4H11NO2"	"OCCNCCO"	"ZBCBWPMODOFKDW-UHFFFAOYSA-N"	"Diethanolamine"	"106.08428"	""	""	""	"6.019"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"0"	"11226"	"4297"	"4615"	"3192"	"4704"	"3408"	"4631"	"3242"	"4279"	"3851"	"3449"	"2551"	"3070"	"3690"	"3555"
"CHEBI:16668"	"C2H7NO2S"	"NCCS(O)=O"	"VVIUBCNYACGLLV-UHFFFAOYNA-N"	"Hypotaurine"	"110.03556"	""	""	""	"7.237"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"509"	"39858"	"31748"	"30472"	"30516"	"32637"	"34701"	"28671"	"28440"	"32352"	"31050"	"29534"	"27408"	"26431"	"23472"	"23044"
"CHEBI:16668"	"C2H7NO2S"	"NCCS(O)=O"	"VVIUBCNYACGLLV-UHFFFAOYNA-N"	"Hypotaurine"	"110.03557"	""	""	""	"6.157"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"2391"	"45793"	"23948"	"23255"	"20651"	"24294"	"24067"	"19223"	"20599"	"22860"	"24502"	"27773"	"20385"	"20223"	"19053"	"20351"
""	"C4H5N3O"	"OC1=NC=CC(=N)N1"	"OPTASPLRGRRNAP-UHFFFAOYSA-N"	"Cytosine"	"112.04913"	""	""	""	"0.866"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"319"	"239"	"421"	"296"	"1910"	"547"	"0"	"2020"	"0"	"0"	"0"	"0"	"0"	"7425"	"3837"	"0"
""	"C4H5N3O"	"OC1=NC=CC(=N)N1"	"OPTASPLRGRRNAP-UHFFFAOYSA-N"	"Cytosine"	"112.05129"	""	""	""	"0.705"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"4364"	"0"	"2476"	"1153"	"4564"	"131"	"3045"	"4674"	"0"	"3263"	"2293"	"995"	"8384"	"17062"	"3726"	"109"
""	"C4H5N3O"	"OC1=NC=CC(=N)N1"	"OPTASPLRGRRNAP-UHFFFAOYSA-N"	"Cytosine"	"112.05995"	""	""	""	"0.651"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"9014"	"50"	"12180"	"11333"	"15833"	"11731"	"9616"	"8888"	"219"	"3357"	"560"	"3547"	"10005"	"11068"	"9777"	"0"
""	"C4H4N2O2"	"OC1=NC(O)=NC=C1"	"ISAKRJDGNUQOIC-UHFFFAOYSA-N"	"Uracil"	"113.0323"	""	""	""	"1.151"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"4272"	"266"	"16766"	"4466"	"14139"	"11526"	"5841"	"3224"	"268"	"8639"	"9379"	"2579"	"17639"	"9022"	"2212"	"0"
""	"C4H4N2O2"	"OC1=NC(O)=NC=C1"	"ISAKRJDGNUQOIC-UHFFFAOYSA-N"	"Uracil"	"113.0323"	""	""	""	"0.555"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"322"	"0"	"0"	"0"	"0"	"0"	"998"	"284"	"231"	"4146"	"2238"	"667"	"1335"	"492"	"0"	"0"
""	"C4H4N2O2"	"OC1=NC(O)=NC=C1"	"ISAKRJDGNUQOIC-UHFFFAOYSA-N"	"Uracil"	"113.03447"	""	""	""	"0.927"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"1757292"	"0"	"3535636"	"1689955"	"2622805"	"3155223"	"1814079"	"748547"	"0"	"1124609"	"1608198"	"464942"	"2567214"	"412981"	"560544"	"156"
""	"C4H7N3O"	"CN1CC(O)=NC1=N"	"DDRJAANPRJIHGJ-UHFFFAOYSA-N"	"Creatinine"	"114.06783"	""	""	""	"1.053"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"613"	"0"	"3564"	"1524"	"1263"	"3620"	"4172"	"2420"	"0"	"4345"	"4356"	"3828"	"2537"	"1780"	"2208"	"0"
""	"C4H7N3O"	"CN1CC(O)=NC1=N"	"DDRJAANPRJIHGJ-UHFFFAOYSA-N"	"Creatinine"	"114.07439"	""	""	""	"0.594"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"4333"	"224"	"3735"	"8383"	"2861"	"2844"	"6737"	"11331"	"24"	"1829"	"220"	"3222"	"1533"	"8280"	"13813"	"0"
""	"C4H6N2O2"	"OC1=NC(O)=NCC1"	"OIVLITBTBDPEFK-UHFFFAOYSA-N"	"5,6-Dihydrouracil"	"115.04224"	""	""	""	"11.08"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"3216"	"25564"	"17965"	"23749"	"27059"	"19532"	"24087"	"20109"	"28118"	"34436"	"31369"	"27353"	"32940"	"33681"	"28447"	"14849"
""	"C4H6N2O2"	"OC1=NC(O)=NCC1"	"OIVLITBTBDPEFK-UHFFFAOYSA-N"	"5,6-Dihydrouracil"	"115.04444"	""	""	""	"5.773"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"1627"	"17027"	"18522"	"13039"	"10556"	"19784"	"7951"	"8634"	"11186"	"14499"	"9453"	"8792"	"9234"	"6848"	"6317"	"13628"
""	"C4H6N2O2"	"OC1=NC(O)=NCC1"	"OIVLITBTBDPEFK-UHFFFAOYSA-N"	"5,6-Dihydrouracil"	"115.05103"	""	""	""	"5.428"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"1437"	"33313"	"16803"	"14196"	"16431"	"23989"	"18725"	"14958"	"17306"	"17014"	"12419"	"13736"	"13787"	"19441"	"16031"	"7957"
""	"C4H6N2O2"	"OC1=NC(O)=NCC1"	"OIVLITBTBDPEFK-UHFFFAOYSA-N"	"5,6-Dihydrouracil"	"115.05322"	""	""	""	"2.205"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"16335"	"969"	"52690"	"14713"	"26236"	"61218"	"11331"	"2603"	"564"	"10454"	"16028"	"1884"	"37502"	"1956"	"2472"	"0"
""	"C4H6N2O2"	"OC1=NC(O)=NCC1"	"OIVLITBTBDPEFK-UHFFFAOYSA-N"	"5,6-Dihydrouracil"	"115.05761"	""	""	""	"2.048"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"5852"	"444"	"22444"	"7913"	"18110"	"34996"	"8810"	"678"	"0"	"3789"	"9868"	"276"	"20764"	"202"	"658"	"0"
""	"C5H9NO2"	"OC(=O)C1CCCN1"	"ONIBWKKTOPOVIA-UHFFFAOYNA-N"	"Proline"	"116.06929"	""	""	""	"0.666"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"35492"	"1011"	"10435"	"9465"	"12606"	"12897"	"8384"	"7462"	"3112"	"141392"	"32323"	"60001"	"130725"	"79214"	"63375"	"1636"
"CHEBI:16344"	"C3H7N3O2"	"NC(=N)NCC(O)=O"	"BPMFZUMJYQTVII-UHFFFAOYSA-N"	"Glycocyamine"	"118.06148"	""	""	""	"3.56"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"12241"	"2953"	"20076"	"7039"	"61593"	"15017"	"7606"	"11393"	"934"	"5716"	"6171"	"8155"	"12874"	"2561"	"8960"	"1354"
"CHEBI:16344"	"C3H7N3O2"	"NC(=N)NCC(O)=O"	"BPMFZUMJYQTVII-UHFFFAOYSA-N"	"Glycocyamine"	"118.06371"	""	""	""	"2.723"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"16972"	"2034"	"80955"	"26247"	"49229"	"79199"	"25843"	"11769"	"2342"	"18824"	"19975"	"6346"	"45865"	"8074"	"9089"	"2195"
"CHEBI:16344"	"C3H7N3O2"	"NC(=N)NCC(O)=O"	"BPMFZUMJYQTVII-UHFFFAOYSA-N"	"Glycocyamine"	"118.06371"	""	""	""	"2.204"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"77641"	"3958"	"339564"	"65840"	"112485"	"312980"	"75315"	"24326"	"3798"	"57428"	"68006"	"15929"	"197655"	"19576"	"22137"	"2834"
"CHEBI:16344"	"C3H7N3O2"	"NC(=N)NCC(O)=O"	"BPMFZUMJYQTVII-UHFFFAOYSA-N"	"Glycocyamine"	"118.06371"	""	""	""	"2.05"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"45314"	"1338"	"122409"	"52058"	"86357"	"144156"	"50171"	"15137"	"1962"	"33581"	"39674"	"15087"	"99218"	"16329"	"15369"	"3483"
"CHEBI:16344"	"C3H7N3O2"	"NC(=N)NCC(O)=O"	"BPMFZUMJYQTVII-UHFFFAOYSA-N"	"Glycocyamine"	"118.06371"	""	""	""	"2.798"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"23848"	"2603"	"104538"	"28755"	"53544"	"90876"	"30956"	"12580"	"1932"	"19500"	"28213"	"10244"	"64757"	"9625"	"10973"	"2477"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08371"	""	""	""	"2.05"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"14634"	"49996"	"41673"	"53380"	"58078"	"58684"	"51308"	"33708"	"33230"	"29721"	"68875"	"23112"	"15824"	"26721"	"30917"	"56997"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08371"	""	""	""	"0.984"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"12028"	"33230"	"54274"	"37326"	"70092"	"76343"	"49211"	"50180"	"41172"	"49115"	"48500"	"41449"	"58257"	"39318"	"49139"	"16539"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08371"	""	""	""	"0.436"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"22214"	"30409"	"58311"	"60456"	"54796"	"73871"	"55685"	"47573"	"27146"	"47069"	"46038"	"45846"	"23996"	"59125"	"42617"	"23857"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08371"	""	""	""	"0.629"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"84683"	"48312"	"241565"	"215165"	"138066"	"213900"	"104894"	"57850"	"30048"	"128427"	"84426"	"141049"	"177930"	"171517"	"162679"	"40806"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08371"	""	""	""	"3.562"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"26776"	"33345"	"29187"	"18693"	"45215"	"57357"	"30305"	"28336"	"22556"	"39669"	"33752"	"19709"	"32794"	"30723"	"24912"	"24177"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08371"	""	""	""	"2.796"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"17856"	"23524"	"31972"	"51574"	"15566"	"57866"	"25894"	"56803"	"24694"	"35468"	"37836"	"27914"	"25076"	"23801"	"25536"	"17538"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08371"	""	""	""	"1.446"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"28810"	"27904"	"23400"	"25150"	"33028"	"23400"	"36190"	"20408"	"55214"	"35958"	"23772"	"24389"	"58051"	"53856"	"39119"	"43773"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08371"	""	""	""	"0.048"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"12762"	"59010"	"34454"	"36796"	"35045"	"24156"	"23678"	"24599"	"17748"	"35433"	"39178"	"27499"	"40925"	"38576"	"33815"	"25994"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08593"	""	""	""	"1.303"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"26314"	"44601"	"55406"	"28626"	"51971"	"67727"	"59551"	"54566"	"28362"	"71414"	"40771"	"35178"	"33303"	"36855"	"18465"	"13287"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08593"	""	""	""	"5.582"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"17906"	"26230"	"7544"	"24523"	"17525"	"9026"	"25669"	"23300"	"34550"	"21146"	"28042"	"18464"	"12883"	"15179"	"8923"	"18412"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08593"	""	""	""	"5.731"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"10743"	"9866"	"19556"	"11024"	"13297"	"23388"	"13686"	"24600"	"7352"	"34149"	"8467"	"10273"	"23179"	"14819"	"14184"	"11658"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08593"	""	""	""	"11.293"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"46949"	"48548"	"50025"	"43948"	"44233"	"46154"	"47314"	"45167"	"45930"	"49793"	"48000"	"46783"	"45216"	"45201"	"41465"	"42084"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08593"	""	""	""	"0.887"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"29242"	"50246"	"68106"	"59419"	"58385"	"56318"	"34240"	"23021"	"36486"	"84869"	"43849"	"46274"	"51808"	"36055"	"11665"	"45540"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08593"	""	""	""	"0.522"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"18011"	"43374"	"27148"	"45477"	"38197"	"40509"	"11351"	"47917"	"25504"	"57823"	"43576"	"50182"	"26579"	"48063"	"43703"	"32281"
""	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"KZSNJWFQEVHDMF-UHFFFAOYNA-N"	"Valine"	"118.08851"	""	""	""	"11.358"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"25899"	"49198"	"45201"	"45870"	"40869"	"49856"	"40593"	"40972"	"42452"	"44006"	"50447"	"42788"	"46787"	"41036"	"49079"	"37916"
"CHEBI:41275"	"C7H6N2"	"N1C=NC2=CC=CC=C12"	"HYZJCKYKOHLVJF-UHFFFAOYSA-N"	"Benzimidazole"	"119.04607"	""	""	""	"1.143"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"18362"	"26"	"15292"	"5167"	"8340"	"14366"	"7279"	"5417"	"0"	"41598"	"14080"	"12588"	"34775"	"28802"	"10829"	"0"
"CHEBI:41275"	"C7H6N2"	"N1C=NC2=CC=CC=C12"	"HYZJCKYKOHLVJF-UHFFFAOYSA-N"	"Benzimidazole"	"119.05054"	""	""	""	"7.021"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"37707"	"26785"	"20744"	"27775"	"30900"	"47424"	"35519"	"53512"	"19628"	"40040"	"48507"	"37392"	"23957"	"32493"	"20584"	"41346"
"CHEBI:41275"	"C7H6N2"	"N1C=NC2=CC=CC=C12"	"HYZJCKYKOHLVJF-UHFFFAOYSA-N"	"Benzimidazole"	"119.05277"	""	""	""	"9.251"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"50103"	"54665"	"79688"	"70038"	"88898"	"85887"	"98601"	"118617"	"67462"	"122651"	"78824"	"165080"	"138480"	"145012"	"46148"	"44777"
"CHEBI:41275"	"C7H6N2"	"N1C=NC2=CC=CC=C12"	"HYZJCKYKOHLVJF-UHFFFAOYSA-N"	"Benzimidazole"	"119.05277"	""	""	""	"11.077"	"NCBI:txid559292"	"Saccharomyces cerevisiae"	""	""	""	""	""	""	""	""	""	"216964"	"326172"	"322849"	"281248"	"310599"	"318454"	"287354"	"344632"	"328510"	"349833"	"325659"	"306820"	"305256"	"340974"	"304628"	"312686"
