"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Cilastatin","Cilastatin","HMDB0015535","6435415","3697","C01675",NA,"N[C@@H](CSCCCC\C=C(/NC(=O)[C@H]1CC1(C)C)C(=O)O)C(=O)O","1"
"Cochlioquinone A","NA","NA","NA","NA","NA","NA","NA","0"
"Crystal violet","Gentian Violet","HMDB0014550","3468","77181",NA,NA,"CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C","1"
"Cyanidin-3-O-(2''-O-beta-xylopyranosyl-beta-glucopyranoside)-5-O-beta-glucopyranoside","NA","NA","NA","NA","NA","NA","NA","0"
"Cymarin","Cymarin",NA,"441853",NA,NA,NA,NA,"1"
"Cymoxanil","NA","NA","NA","NA","NA","NA","NA","0"
"Cystine","Cystine","HMDB0250712","595","17376","C01420",NA,"NC(CSSCC(N)C(O)=O)C(O)=O","1"
"DErySphingosine","NA","NA","NA","NA","NA","NA","NA","0"
"Dexamethasone","Dexamethasone","HMDB0015364","5743","41879","C15643",NA,"[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C","1"
"Diazinon","Diazinon","HMDB0032943","3017","34682","C14324",NA,"CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C","1"
"Drofenine","NA","NA","NA","NA","NA","NA","NA","0"
"Enalaprilat","Enalaprilat","HMDB0041886","6917719","4786","C11720",NA,"[H][C@@](C)(N[C@@]([H])(CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@@]1([H])C(O)=O","1"
"Fortunellin","NA","NA","NA","NA","NA","NA","NA","0"
"Fucoxanthin","Fucoxanthin","HMDB0002741","5364094","5186","C08596","3685","CC(=O)OC1CC(C)(C)C(=C=C\C(C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)C(=O)CC23OC2(C)CC(O)CC3(C)C)C(C)(O)C1","1"
"Gentiobiose","NA","NA","NA","NA","NA","NA","NA","0"
"Glutamic acid","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"Glycocyamine","Guanidoacetic acid","HMDB0000128","763","16344","C00581","5163","NC(=N)NCC(O)=O","1"
"Harmine","Harmine","HMDB0030311","5280953","28121","C06538",NA,"COC1=CC=C2C(NC3=C2C=CN=C3C)=C1","1"
"Hesperidin","Hesperidin","HMDB0003265","53477767","28775","C09755","3678","COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(OC1O[C@H](CO[C@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@H](O)[C@H]1O)C=C2O","1"
"Hesperidin methyl chalcone","NA","NA","NA","NA","NA","NA","NA","0"
"Hydrocortisone","Cortisol","HMDB0000063","5754","17650","C00735","5124","[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"Icariin","Icariin",NA,"44259060",NA,NA,NA,"COc1ccc(-c2oc3c(CC=C(C)C)c(O4OC(CO)(O)(O)C4O)cc(O)c3c(=O)c2O2OC(C)(O)C(O)2O)cc1","1"
"Imazalil","Enilconazole","HMDB0031794","37175","83829","C18739",NA,"ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C","1"
"Indole-3-acetyl-L-aspartic acid","L-N-(1H-Indol-3-ylacetyl)aspartic acid","HMDB0038666","4656408",NA,NA,NA,"OC(=O)CC(NC(=O)CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"Iprovalicarb","Iprovalicarb","HMDB0253572","6914821","83593",NA,NA,"CC(C)OC(=O)NC(C(C)C)C(=O)NC(C)C1=CC=C(C)C=C1","1"
"Irgarol","NA","NA","NA","NA","NA","NA","NA","0"
"Kaempferide","Kaempferide","HMDB0037441","5281666","6099","C10098",NA,"COC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1","1"
"Ketoconazole","Ketoconazole","HMDB0012242","47576","47518",NA,NA,"CC(=O)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1","1"
"L-Anserine","Anserine","HMDB0000194","112072","18323","C01262","5209","CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O","1"
"Lactose","Alpha-Lactose","HMDB0000186","84571","36219","C00243","267","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O","1"
"Laudanosine","(S)-Laudanosine","HMDB0030213","15548","444892",NA,NA,"COC1=C(OC)C=C(CC2N(C)CCC3=CC(OC)=C(OC)C=C23)C=C1","1"
"Leu-Leu-Tyr","Leu-Leu-Tyr","HMDB0304804","88513","6415","C11331",NA,"[H][C@](N)(CC(C)C)C(O)=N[C@@]([H])(CC(C)C)C(O)=N[C@@]([H])(CC1=CC=C(O)C=C1)C(O)=O","1"
"Leucine_Enkephalin","NA","NA","NA","NA","NA","NA","NA","0"
"Levamisole","Levamisole","HMDB0014986","26879","6432","C07070",NA,"C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1","1"
"Lincomycin","Lincomycin","HMDB0015564","656509","6472","C06812",NA,"[H][C@@]1(O[C@]([H])([C@H](NC(=O)C2C[C@@H](CCC)CN2C)[C@@H](C)O)[C@H](O)[C@H](O)[C@H]1O)SC","1"
"Mactraxanthin","Mactraxanthin","HMDB0036928","131752098",NA,NA,NA,"C/C(/C=C/C=C(/C)\C=C\C1(O)C(C)(C)CC(O)CC1(C)O)=C\C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1(O)C(C)(C)CC(O)CC1(C)O","1"
"Methotrexate","Methotrexate","HMDB0014703","126941","44185","C01937",NA,"CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"Methoxyfenozide","Methoxyfenozide","HMDB0254547",NA,"38449","C18525",NA,"COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C","1"
"Methylergonovine","Methylergonovine","HMDB0014497","8226","775307",NA,NA,"[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO","1"
"Metribuzin-diketo","NA","NA","NA","NA","NA","NA","NA","0"
"Myxoxanthophyll","NA","NA","NA","NA","NA","NA","NA","0"
"N,N-Dimethylaniline","N,N-Dimethylaniline","HMDB0001020","949","16269","C02846","5949","CN(C)C1=CC=CC=C1","1"
"NAD","NAD","HMDB0000902","5892","44215","C00003","5858","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O","1"
"Naringin","Naringin","HMDB0002927","442428","28819","C09789","3604","C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O","1"
"Nicosulfuron","NA","NA","NA","NA","NA","NA","NA","0"
"Nicotinoylcholine","NA","NA","NA","NA","NA","NA","NA","0"
"Oseltamivir","Oseltamivir","HMDB0014343","65028","7798","C08092",NA,"CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1","1"
"Pethoxamide","NA","NA","NA","NA","NA","NA","NA","0"
"Phenmedipham","Phenmedipham","HMDB0256405",NA,"81734","C18420",NA,"COC(O)=NC1=CC(OC(O)=NC2=CC=CC(C)=C2)=CC=C1","1"
"Phenylalanine","Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"Phosphatidylinositol 16","NA","NA","NA","NA","NA","NA","NA","0"
"Phosphatidylinositol 18","NA","NA","NA","NA","NA","NA","NA","0"
"Pirimicarb","Pirimicarb","HMDB0256598","31645","8248","C11079",NA,"CN(C)C(=O)OC1=NC(=NC(C)=C1C)N(C)C","1"
"Praziquantel","Praziquantel","HMDB0015191","4891","199024","C07367",NA,"O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1","1"
"Prednisolone_Tebutate","NA","NA","NA","NA","NA","NA","NA","0"
"Prednisone","Prednisone","HMDB0014773","5865","8382","C07370",NA,"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C","1"
"Propachlor ESA","NA","NA","NA","NA","NA","NA","NA","0"
"Pyrroxanthin 5,8-furanoxide","NA","NA","NA","NA","NA","NA","NA","0"
"Rotenone","Rotenone","HMDB0034436","6758","28201","C07593",NA,"[H][C@@]12COC3=C(C=C(OC)C(OC)=C3)[C@]1([H])C(=O)C1=CC=C3O[C@H](CC3=C1O2)C(C)=C","1"
"Scopoletin","Scopoletin","HMDB0034344","5280460","17488","C01752",NA,"COC1=C(O)C=C2OC(=O)C=CC2=C1","1"
"Spectinomycin","Spectinomycin","HMDB0015055","15541","9215","C02078",NA,"[H][C@@]12O[C@H](C)CC(=O)[C@]1(O)O[C@]1([H])[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@@]1([H])O2","1"
"Syringaldehyde","Syringaldehyde","HMDB0258653","8655","67380",NA,NA,"COC1=CC(C=O)=CC(OC)=C1O","1"
"Taurocholate","Taurocholic acid","HMDB0000036","6675","28865","C05122","5104","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O","1"
"Temazepam","Temazepam","HMDB0014376","5391","195909","C07125",NA,"CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1","1"
"Triphenylphosphine oxid","NA","NA","NA","NA","NA","NA","NA","0"
"Tristealin","NA","NA","NA","NA","NA","NA","NA","0"
"Uridine","Uridine","HMDB0000296","6029","16704","C00299","90","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"Xanthohumol","Xanthohumol","HMDB0037479","639665","66331","C16417",NA,"COC1=C(C(=O)\C=C\C2=CC=C(O)C=C2)C(O)=C(CC=C(C)C)C(O)=C1","1"
"[6]-Gingerol","Gingerol","HMDB0005783","3473",NA,"C10462",NA,"CCCCCC(O)CC(=O)CCC1=CC=C(O)C(OC)=C1","1"
"all-trans-Retinoic acid","all-trans-Retinoic acid","HMDB0001852","444795","15367","C00777","2277","C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O","1"
"delta-Decalactone","delta-Decalactone","HMDB0037116","12810","87327",NA,NA,"CCCCCC1CCCC(=O)O1","1"
